zip_code_tabulation_area,local_health_jurisdiction,county
94063,San Mateo,San Mateo
92225,Riverside,Riverside
92273,Imperial,Imperial
92651,Orange,Orange
92801,Orange,Orange
92865,Orange,Orange
92352,San Bernardino,San Bernardino
92250,Imperial,Imperial
92807,Orange,Orange
92627,Orange,Orange
91935,San Diego,San Diego
91773,Los Angeles,Los Angeles
91107,Pasadena,Los Angeles
93283,Kern,Kern
92866,Orange,Orange
94528,Contra Costa,Contra Costa
95076,Santa Cruz,Santa Cruz
90010,Los Angeles,Los Angeles
91905,San Diego,San Diego
91016,Los Angeles,Los Angeles
91303,Los Angeles,Los Angeles
91608,Los Angeles,Los Angeles
91906,San Diego,San Diego
94806,Contra Costa,Contra Costa
93603,Tulare,Tulare
93314,Kern,Kern
93943,Monterey,Monterey
94588,Alameda,Alameda
92503,Riverside,Riverside
91384,Los Angeles,Los Angeles
91505,Los Angeles,Los Angeles
93004,Ventura,Ventura
92604,Orange,Orange
92532,Riverside,Riverside
92555,Riverside,Riverside
95621,Sacramento,Sacramento
92707,Orange,Orange
91914,San Diego,San Diego
91932,San Diego,San Diego
93247,Tulare,Tulare
92240,Riverside,Riverside
92553,Riverside,Riverside
94592,Solano,Solano
92285,San Bernardino,San Bernardino
92009,San Diego,San Diego
91934,San Diego,San Diego
91006,Los Angeles,Los Angeles
92821,Orange,Orange
92124,San Diego,San Diego
92358,San Bernardino,San Bernardino
92861,Orange,Orange
92868,Orange,Orange
92102,San Diego,San Diego
91405,Los Angeles,Los Angeles
93101,Santa Barbara,Santa Barbara
92308,San Bernardino,San Bernardino
93023,Ventura,Ventura
93730,Fresno,Fresno
93623,Mariposa,Mariposa
92120,San Diego,San Diego
94521,Contra Costa,Contra Costa
94597,Contra Costa,Contra Costa
91702,Los Angeles,Los Angeles
91948,San Diego,San Diego
93932,Monterey,Monterey
93628,Fresno,Fresno
93220,Kern,Kern
93258,Tulare,Tulare
93426,San Luis Obispo,San Luis Obispo
91401,Los Angeles,Los Angeles
94607,Alameda,Alameda
94060,San Mateo,San Mateo
94957,Marin,Marin
95117,Santa Clara,Santa Clara
91761,San Bernardino,San Bernardino
91304,Los Angeles,Los Angeles
91502,Los Angeles,Los Angeles
93003,Ventura,Ventura
93601,Madera,Madera
93619,Fresno,Fresno
94567,Napa,Napa
94709,Berkeley,Alameda
91204,Los Angeles,Los Angeles
95118,Santa Clara,Santa Clara
94951,Sonoma,Sonoma
93524,Kern,Kern
92220,Riverside,Riverside
94022,Santa Clara,Santa Clara
94573,Napa,Napa
94613,Alameda,Alameda
91024,Los Angeles,Los Angeles
91106,Pasadena,Los Angeles
93043,Ventura,Ventura
93723,Fresno,Fresno
92154,San Diego,San Diego
95010,Santa Cruz,Santa Cruz
92676,Orange,Orange
91710,San Bernardino,San Bernardino
91913,San Diego,San Diego
94954,Sonoma,Sonoma
92122,San Diego,San Diego
92274,Riverside,Riverside
94123,San Francisco,San Francisco
94503,Napa,Napa
94548,Contra Costa,Contra Costa
90024,Los Angeles,Los Angeles
91306,Los Angeles,Los Angeles
91331,Los Angeles,Los Angeles
93544,Los Angeles,Los Angeles
93111,Santa Barbara,Santa Barbara
93434,Santa Barbara,Santa Barbara
93555,Kern,Kern
92117,San Diego,San Diego
94956,Marin,Marin
94005,San Mateo,San Mateo
94525,Contra Costa,Contra Costa
92886,Orange,Orange
92780,Orange,Orange
92385,San Bernardino,San Bernardino
92617,Orange,Orange
93429,Santa Barbara,Santa Barbara
92630,Orange,Orange
94037,San Mateo,San Mateo
93517,Mono,Mono
94129,San Francisco,San Francisco
92134,San Diego,San Diego
92603,Orange,Orange
92587,Riverside,Riverside
93201,Tulare,Tulare
94924,Marin,Marin
94949,Marin,Marin
94133,San Francisco,San Francisco
94539,Alameda,Alameda
94103,San Francisco,San Francisco
94501,Alameda,Alameda
94560,Alameda,Alameda
91367,Los Angeles,Los Angeles
95826,Sacramento,Sacramento
95674,Sutter,Sutter
95919,Yuba,Yuba
91941,San Diego,San Diego
92066,San Diego,San Diego
92075,San Diego,San Diego
92606,Orange,Orange
92802,Orange,Orange
92705,Orange,Orange
95237,San Joaquin,San Joaquin
95255,Calaveras,Calaveras
95430,Sonoma,Sonoma
91980,San Diego,San Diego
92058,San Diego,San Diego
92084,San Diego,San Diego
95130,Santa Clara,Santa Clara
95210,San Joaquin,San Joaquin
91730,San Bernardino,San Bernardino
95335,Tuolumne,Tuolumne
95637,Yolo,Yolo
95901,Yuba,Yuba
95973,Butte,Butte
93427,Santa Barbara,Santa Barbara
93286,Tulare,Tulare
93440,Santa Barbara,Santa Barbara
90715,Los Angeles,Los Angeles
92656,Orange,Orange
93637,Madera,Madera
93641,Fresno,Fresno
94920,Marin,Marin
92805,Orange,Orange
92145,San Diego,San Diego
92147,San Diego,San Diego
92155,San Diego,San Diego
92067,San Diego,San Diego
92551,Riverside,Riverside
92570,Riverside,Riverside
92345,San Bernardino,San Bernardino
92253,Riverside,Riverside
92407,San Bernardino,San Bernardino
93207,Tulare,Tulare
91381,Los Angeles,Los Angeles
92544,Riverside,Riverside
92313,San Bernardino,San Bernardino
92029,San Diego,San Diego
92061,San Diego,San Diego
92131,San Diego,San Diego
92374,San Bernardino,San Bernardino
91916,San Diego,San Diego
93001,Ventura,Ventura
93041,Ventura,Ventura
92280,San Bernardino,San Bernardino
92869,Orange,Orange
92223,Riverside,Riverside
90623,Orange,Orange
90630,Orange,Orange
92322,San Bernardino,San Bernardino
92344,San Bernardino,San Bernardino
92378,San Bernardino,San Bernardino
92678,Orange,Orange
93430,San Luis Obispo,San Luis Obispo
92590,Riverside,Riverside
92660,Orange,Orange
93063,Ventura,Ventura
93312,Kern,Kern
93535,Los Angeles,Los Angeles
93510,Los Angeles,Los Angeles
94963,Marin,Marin
92867,Orange,Orange
92880,Riverside,Riverside
92132,San Diego,San Diego
92135,San Diego,San Diego
94941,Marin,Marin
94124,San Francisco,San Francisco
94544,Alameda,Alameda
94024,Santa Clara,Santa Clara
94568,Alameda,Alameda
92596,Riverside,Riverside
93205,Kern,Kern
93311,Kern,Kern
96008,Shasta,Shasta
96085,Siskiyou,Siskiyou
95139,Santa Clara,Santa Clara
96121,Lassen,Lassen
96112,Modoc,Modoc
96125,Sierra,Sierra
96096,Shasta,Shasta
95234,San Joaquin,San Joaquin
95811,Sacramento,Sacramento
95709,El Dorado,El Dorado
96029,Tehama,Tehama
95435,Lake,Lake
95604,Placer,Placer
95697,Yolo,Yolo
96035,Tehama,Tehama
96014,Siskiyou,Siskiyou
95070,Santa Clara,Santa Clara
95113,Santa Clara,Santa Clara
95726,El Dorado,El Dorado
95963,Glenn,Glenn
96048,Trinity,Trinity
96051,Shasta,Shasta
96013,Shasta,Shasta
96133,Mono,Mono
96119,Lassen,Lassen
96148,Placer,Placer
95616,Yolo,Yolo
95341,Merced,Merced
95818,Sacramento,Sacramento
95618,Yolo,Yolo
95632,Sacramento,Sacramento
95212,San Joaquin,San Joaquin
95974,Butte,Butte
95340,Merced,Merced
95348,Merced,Merced
95930,Butte,Butte
96118,Sierra,Sierra
96033,Shasta,Shasta
95415,Mendocino,Mendocino
95041,Santa Cruz,Santa Cruz
95382,Stanislaus,Stanislaus
95245,Calaveras,Calaveras
95679,Yolo,Yolo
95822,Sacramento,Sacramento
95692,Yuba,Yuba
96009,Lassen,Lassen
96080,Tehama,Tehama
95448,Sonoma,Sonoma
95073,Santa Cruz,Santa Cruz
95312,Merced,Merced
95008,Santa Clara,Santa Clara
95366,San Joaquin,San Joaquin
95439,Sonoma,Sonoma
95746,Placer,Placer
96027,Siskiyou,Siskiyou
96132,Lassen,Lassen
95319,Stanislaus,Stanislaus
96101,Modoc,Modoc
95631,Placer,Placer
95658,Placer,Placer
95936,Sierra,Sierra
95949,Nevada,Nevada
96145,Placer,Placer
96001,Shasta,Shasta
96032,Siskiyou,Siskiyou
96103,Plumas,Plumas
96106,Plumas,Plumas
95375,Tuolumne,Tuolumne
95351,Stanislaus,Stanislaus
96122,Plumas,Plumas
96016,Shasta,Shasta
96020,Plumas,Plumas
96031,Siskiyou,Siskiyou
95695,Yolo,Yolo
95923,Plumas,Plumas
96050,Siskiyou,Siskiyou
96010,Trinity,Trinity
96006,Modoc,Modoc
96116,Modoc,Modoc
96115,Modoc,Modoc
96090,Tehama,Tehama
95053,Santa Clara,Santa Clara
95698,Yolo,Yolo
96017,Shasta,Shasta
95934,Plumas,Plumas
96021,Tehama,Tehama
96155,El Dorado,El Dorado
96076,Trinity,Trinity
96062,Shasta,Shasta
96057,Siskiyou,Siskiyou
95728,Nevada,Nevada
95816,Sacramento,Sacramento
96074,Tehama,Tehama
95589,Humboldt,Humboldt
96007,Shasta,Shasta
95821,Sacramento,Sacramento
95645,Sutter,Sutter
95361,Stanislaus,Stanislaus
95211,San Joaquin,San Joaquin
95486,Sonoma,Sonoma
96146,Placer,Placer
95988,Glenn,Glenn
95666,Amador,Amador
95914,Butte,Butte
95355,Stanislaus,Stanislaus
96023,Siskiyou,Siskiyou
96011,Shasta,Shasta
96054,Modoc,Modoc
96150,El Dorado,El Dorado
95379,Tuolumne,Tuolumne
95563,Trinity,Trinity
95126,Santa Clara,Santa Clara
90605,Los Angeles,Los Angeles
94530,Contra Costa,Contra Costa
94546,Alameda,Alameda
96130,Lassen,Lassen
95388,Merced,Merced
95427,Mendocino,Mendocino
95443,Lake,Lake
96028,Shasta,Shasta
95360,Stanislaus,Stanislaus
96059,Tehama,Tehama
94565,Contra Costa,Contra Costa
95252,Calaveras,Calaveras
90018,Los Angeles,Los Angeles
95226,Calaveras,Calaveras
95329,Tuolumne,Tuolumne
96069,Shasta,Shasta
95310,Tuolumne,Tuolumne
95437,Mendocino,Mendocino
96140,Placer,Placer
95358,Stanislaus,Stanislaus
95369,Merced,Merced
95386,Stanislaus,Stanislaus
95338,Mariposa,Mariposa
95407,Sonoma,Sonoma
95134,Santa Clara,Santa Clara
94575,Contra Costa,Contra Costa
90277,Los Angeles,Los Angeles
90732,Los Angeles,Los Angeles
90405,Los Angeles,Los Angeles
94087,Santa Clara,Santa Clara
94116,San Francisco,San Francisco
94118,San Francisco,San Francisco
94306,Santa Clara,Santa Clara
94552,Alameda,Alameda
95251,Calaveras,Calaveras
96087,Shasta,Shasta
95446,Sonoma,Sonoma
95333,Merced,Merced
95033,Santa Cruz,Santa Cruz
94108,San Francisco,San Francisco
94541,Alameda,Alameda
94590,Solano,Solano
95376,San Joaquin,San Joaquin
95429,Mendocino,Mendocino
95556,Humboldt,Humboldt
95660,Sacramento,Sacramento
96092,Tehama,Tehama
90250,Los Angeles,Los Angeles
90710,Los Angeles,Los Angeles
94508,Napa,Napa
94515,Napa,Napa
95133,Santa Clara,Santa Clara
95111,Santa Clara,Santa Clara
95571,Humboldt,Humboldt
95758,Sacramento,Sacramento
95549,Humboldt,Humboldt
95568,Siskiyou,Siskiyou
96094,Siskiyou,Siskiyou
95626,Sacramento,Sacramento
95372,Tuolumne,Tuolumne
96025,Siskiyou,Siskiyou
95490,Mendocino,Mendocino
95601,Amador,Amador
95136,Santa Clara,Santa Clara
95227,San Joaquin,San Joaquin
95020,Santa Clara,Santa Clara
95327,Tuolumne,Tuolumne
95834,Sacramento,Sacramento
95542,Humboldt,Humboldt
95547,Humboldt,Humboldt
95838,Sacramento,Sacramento
95910,Sierra,Sierra
96126,Sierra,Sierra
96058,Siskiyou,Siskiyou
95064,Santa Cruz,Santa Cruz
95125,Santa Clara,Santa Clara
95023,San Benito,San Benito
95035,Santa Clara,Santa Clara
95240,San Joaquin,San Joaquin
90290,Los Angeles,Los Angeles
90706,Los Angeles,Los Angeles
90254,Los Angeles,Los Angeles
90079,Los Angeles,Los Angeles
90831,Long Beach,Los Angeles
94043,Santa Clara,Santa Clara
94074,San Mateo,San Mateo
96064,Siskiyou,Siskiyou
95469,Mendocino,Mendocino
95007,Santa Cruz,Santa Cruz
96143,Placer,Placer
95132,Santa Clara,Santa Clara
95224,Calaveras,Calaveras
95606,Yolo,Yolo
95585,Mendocino,Mendocino
95461,Lake,Lake
96044,Siskiyou,Siskiyou
96067,Siskiyou,Siskiyou
95018,Santa Cruz,Santa Cruz
95110,Santa Clara,Santa Clara
95318,Mariposa,Mariposa
95625,Solano,Solano
95651,El Dorado,El Dorado
95322,Merced,Merced
95466,Mendocino,Mendocino
95005,Santa Cruz,Santa Cruz
95951,Glenn,Glenn
92583,Riverside,Riverside
93657,Fresno,Fresno
93432,San Luis Obispo,San Luis Obispo
92257,Imperial,Imperial
92243,Imperial,Imperial
92356,San Bernardino,San Bernardino
93563,Los Angeles,Los Angeles
93662,Fresno,Fresno
90504,Los Angeles,Los Angeles
94702,Berkeley,Alameda
93648,Fresno,Fresno
93610,Madera,Madera
95939,Glenn,Glenn
92338,San Bernardino,San Bernardino
92264,Riverside,Riverside
92887,Orange,Orange
92327,San Bernardino,San Bernardino
92070,San Diego,San Diego
92242,San Bernardino,San Bernardino
93244,Tulare,Tulare
93460,Santa Barbara,Santa Barbara
93465,San Luis Obispo,San Luis Obispo
93644,Madera,Madera
92128,San Diego,San Diego
92105,San Diego,San Diego
92683,Orange,Orange
92003,San Diego,San Diego
92315,San Bernardino,San Bernardino
94114,San Francisco,San Francisco
92591,Riverside,Riverside
95525,Humboldt,Humboldt
91008,Los Angeles,Los Angeles
92004,San Diego,San Diego
91709,San Bernardino,San Bernardino
91745,Los Angeles,Los Angeles
91762,San Bernardino,San Bernardino
94062,San Mateo,San Mateo
92386,San Bernardino,San Bernardino
95459,Mendocino,Mendocino
91371,Los Angeles,Los Angeles
92256,San Bernardino,San Bernardino
92127,San Diego,San Diego
92882,Riverside,Riverside
92024,San Diego,San Diego
92119,San Diego,San Diego
92211,Riverside,Riverside
92276,Riverside,Riverside
93668,Fresno,Fresno
93702,Fresno,Fresno
95140,Santa Clara,Santa Clara
92629,Orange,Orange
92649,Orange,Orange
92101,San Diego,San Diego
92304,San Bernardino,San Bernardino
95646,Amador,Amador
95966,Butte,Butte
94105,San Francisco,San Francisco
94603,Alameda,Alameda
94923,Sonoma,Sonoma
94938,Marin,Marin
94586,Alameda,Alameda
94601,Alameda,Alameda
94404,San Mateo,San Mateo
94803,Contra Costa,Contra Costa
94952,Sonoma,Sonoma
92835,Orange,Orange
95979,Colusa,Colusa
95634,El Dorado,El Dorado
95937,Yolo,Yolo
95664,El Dorado,El Dorado
95922,Yuba,Yuba
94070,San Mateo,San Mateo
94134,San Francisco,San Francisco
95762,El Dorado,El Dorado
95231,San Joaquin,San Joaquin
95247,Calaveras,Calaveras
95325,Mariposa,Mariposa
94121,San Francisco,San Francisco
94579,Alameda,Alameda
92672,Orange,Orange
95123,Santa Clara,Santa Clara
92277,San Bernardino,San Bernardino
92252,San Bernardino,San Bernardino
92384,Inyo,Inyo
93635,Merced,Merced
93640,Fresno,Fresno
94704,Berkeley,Alameda
93654,Fresno,Fresno
93532,Los Angeles,Los Angeles
93561,Kern,Kern
92227,Imperial,Imperial
92071,San Diego,San Diego
92201,Riverside,Riverside
94020,San Mateo,San Mateo
93726,Fresno,Fresno
91780,Los Angeles,Los Angeles
92021,San Diego,San Diego
92111,San Diego,San Diego
92270,Riverside,Riverside
92282,Riverside,Riverside
92411,San Bernardino,San Bernardino
90602,Los Angeles,Los Angeles
90071,Los Angeles,Los Angeles
94707,Berkeley,Alameda
93436,Santa Barbara,Santa Barbara
93202,Kings,Kings
93277,Tulare,Tulare
93940,Monterey,Monterey
90210,Los Angeles,Los Angeles
90057,Los Angeles,Los Angeles
93270,Tulare,Tulare
94066,San Mateo,San Mateo
94086,Santa Clara,Santa Clara
93420,San Luis Obispo,San Luis Obispo
93591,Los Angeles,Los Angeles
93501,Kern,Kern
93530,Inyo,Inyo
93921,Monterey,Monterey
90013,Los Angeles,Los Angeles
90670,Los Angeles,Los Angeles
90638,Los Angeles,Los Angeles
90803,Long Beach,Los Angeles
90028,Los Angeles,Los Angeles
90247,Los Angeles,Los Angeles
92069,San Diego,San Diego
92126,San Diego,San Diego
90822,Long Beach,Los Angeles
93627,Fresno,Fresno
90008,Los Angeles,Los Angeles
90067,Los Angeles,Los Angeles
93291,Tulare,Tulare
93660,Fresno,Fresno
93267,Tulare,Tulare
93621,Fresno,Fresno
90036,Los Angeles,Los Angeles
90064,Los Angeles,Los Angeles
93260,Tulare,Tulare
93925,Monterey,Monterey
93664,Fresno,Fresno
93012,Ventura,Ventura
93422,San Luis Obispo,San Luis Obispo
90301,Los Angeles,Los Angeles
90248,Los Angeles,Los Angeles
90270,Los Angeles,Los Angeles
90660,Los Angeles,Los Angeles
90068,Los Angeles,Los Angeles
94132,San Francisco,San Francisco
90746,Los Angeles,Los Angeles
93616,Fresno,Fresno
93667,Fresno,Fresno
90061,Los Angeles,Los Angeles
90034,Los Angeles,Los Angeles
90807,Long Beach,Los Angeles
90019,Los Angeles,Los Angeles
93307,Kern,Kern
94110,San Francisco,San Francisco
93546,Mono,Mono
93552,Los Angeles,Los Angeles
93669,Madera,Madera
93651,Fresno,Fresno
93612,Fresno,Fresno
90016,Los Angeles,Los Angeles
90806,Long Beach,Los Angeles
91763,San Bernardino,San Bernardino
91741,Los Angeles,Los Angeles
91750,Los Angeles,Los Angeles
95573,Humboldt,Humboldt
91330,Los Angeles,Los Angeles
91708,San Bernardino,San Bernardino
92392,San Bernardino,San Bernardino
92504,Riverside,Riverside
92065,San Diego,San Diego
91356,Los Angeles,Los Angeles
91402,Los Angeles,Los Angeles
92708,Orange,Orange
92108,San Diego,San Diego
91403,Los Angeles,Los Angeles
91377,Ventura,Ventura
91765,Los Angeles,Los Angeles
91746,Los Angeles,Los Angeles
95526,Humboldt,Humboldt
91210,Los Angeles,Los Angeles
92372,San Bernardino,San Bernardino
92505,Riverside,Riverside
92025,San Diego,San Diego
92283,Imperial,Imperial
92328,Inyo,Inyo
91945,San Diego,San Diego
91754,Los Angeles,Los Angeles
91737,San Bernardino,San Bernardino
91768,Los Angeles,Los Angeles
90069,Los Angeles,Los Angeles
90240,Los Angeles,Los Angeles
90293,Los Angeles,Los Angeles
92064,San Diego,San Diego
93252,Kern,Kern
90744,Los Angeles,Los Angeles
93454,Santa Barbara,Santa Barbara
93212,Kings,Kings
90017,Los Angeles,Los Angeles
90401,Los Angeles,Los Angeles
90066,Los Angeles,Los Angeles
90037,Los Angeles,Los Angeles
92130,San Diego,San Diego
95960,Nevada,Nevada
94578,Alameda,Alameda
92563,Riverside,Riverside
92408,San Bernardino,San Bernardino
92625,Orange,Orange
92363,San Bernardino,San Bernardino
91792,Los Angeles,Los Angeles
91605,Los Angeles,Los Angeles
94519,Contra Costa,Contra Costa
94563,Contra Costa,Contra Costa
92509,Riverside,Riverside
92870,Orange,Orange
92106,San Diego,San Diego
93553,Los Angeles,Los Angeles
94553,Contra Costa,Contra Costa
93241,Kern,Kern
93463,Santa Barbara,Santa Barbara
91362,Ventura,Ventura
94606,Alameda,Alameda
93035,Ventura,Ventura
93203,Kern,Kern
93722,Fresno,Fresno
93920,Monterey,Monterey
93444,San Luis Obispo,San Luis Obispo
93541,Mono,Mono
91203,Los Angeles,Los Angeles
94609,Alameda,Alameda
94937,Marin,Marin
93675,Fresno,Fresno
93901,Monterey,Monterey
93255,Kern,Kern
93927,Monterey,Monterey
93208,Tulare,Tulare
93622,Fresno,Fresno
94595,Contra Costa,Contra Costa
93067,Santa Barbara,Santa Barbara
93512,Mono,Mono
93437,Santa Barbara,Santa Barbara
93445,San Luis Obispo,San Luis Obispo
93549,Inyo,Inyo
94555,Alameda,Alameda
94610,Alameda,Alameda
90043,Los Angeles,Los Angeles
95661,Placer,Placer
95837,Sacramento,Sacramento
95954,Butte,Butte
90039,Los Angeles,Los Angeles
90058,Los Angeles,Los Angeles
90014,Los Angeles,Los Angeles
90044,Los Angeles,Los Angeles
93060,Ventura,Ventura
93554,Kern,Kern
93529,Mono,Mono
93562,San Bernardino,San Bernardino
91010,Los Angeles,Los Angeles
92116,San Diego,San Diego
94608,Alameda,Alameda
94931,Sonoma,Sonoma
93257,Tulare,Tulare
93650,Fresno,Fresno
93280,Kern,Kern
93954,Monterey,Monterey
94946,Marin,Marin
94705,Berkeley,Alameda
93950,Monterey,Monterey
93239,Kings,Kings
93453,San Luis Obispo,San Luis Obispo
93955,Monterey,Monterey
95452,Sonoma,Sonoma
94015,San Mateo,San Mateo
92389,Inyo,Inyo
95501,Humboldt,Humboldt
95336,San Joaquin,San Joaquin
95667,El Dorado,El Dorado
95682,El Dorado,El Dorado
95659,Sutter,Sutter
95830,Sacramento,Sacramento
95928,Butte,Butte
95630,Sacramento,Sacramento
91208,Los Angeles,Los Angeles
91361,Ventura,Ventura
91040,Los Angeles,Los Angeles
95823,Sacramento,Sacramento
95560,Humboldt,Humboldt
95920,Glenn,Glenn
95669,Amador,Amador
93272,Tulare,Tulare
92571,Riverside,Riverside
95233,Calaveras,Calaveras
91007,Los Angeles,Los Angeles
91755,Los Angeles,Los Angeles
91801,Los Angeles,Los Angeles
95524,Humboldt,Humboldt
95492,Sonoma,Sonoma
95257,Calaveras,Calaveras
92333,San Bernardino,San Bernardino
92118,San Diego,San Diego
92083,San Diego,San Diego
92518,Riverside,Riverside
92557,Riverside,Riverside
92582,Riverside,Riverside
92584,Riverside,Riverside
91214,Los Angeles,Los Angeles
91320,Ventura,Ventura
91786,San Bernardino,San Bernardino
95307,Stanislaus,Stanislaus
95316,Stanislaus,Stanislaus
95943,Glenn,Glenn
94940,Marin,Marin
90640,Los Angeles,Los Angeles
91350,Los Angeles,Los Angeles
91601,Los Angeles,Los Angeles
91352,Los Angeles,Los Angeles
91101,Pasadena,Los Angeles
91776,Los Angeles,Los Angeles
91911,San Diego,San Diego
91963,San Diego,San Diego
92398,San Bernardino,San Bernardino
91042,Los Angeles,Los Angeles
91301,Los Angeles,Los Angeles
95552,Trinity,Trinity
95662,Sacramento,Sacramento
94301,Santa Clara,Santa Clara
95225,Calaveras,Calaveras
95389,Mariposa,Mariposa
95650,Placer,Placer
95987,Colusa,Colusa
94040,Santa Clara,Santa Clara
94506,Contra Costa,Contra Costa
94509,Contra Costa,Contra Costa
94542,Alameda,Alameda
95012,Monterey,Monterey
95365,Merced,Merced
95380,Stanislaus,Stanislaus
95918,Yuba,Yuba
95946,Nevada,Nevada
92823,Orange,Orange
94939,Marin,Marin
92661,Orange,Orange
95991,Sutter,Sutter
95045,San Benito,San Benito
95385,Stanislaus,Stanislaus
95472,Sonoma,Sonoma
95536,Humboldt,Humboldt
95624,Sacramento,Sacramento
95814,Sacramento,Sacramento
90045,Los Angeles,Los Angeles
95032,Santa Clara,Santa Clara
95060,Santa Cruz,Santa Cruz
90032,Los Angeles,Los Angeles
94964,Marin,Marin
95694,Yolo,Yolo
95917,Butte,Butte
95363,Stanislaus,Stanislaus
94947,Marin,Marin
95066,Santa Cruz,Santa Cruz
95684,El Dorado,El Dorado
