MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
BE40950609,2724 Foxglove Ct ,Pleasanton,94588,Alameda,8,2051,2949,23,3,4,2,1,6,2021,2021,1450000,1625000,5/19/2021 0:00,5/25/2021 0:00,1998
ML81845215,7873 Chestnut WAY ,Pleasanton,94588,Alameda,8,1650,7763,48,2,4,2,0,8,2021,2021,1228888,1650000,5/21/2021 0:00,5/29/2021 0:00,1973
ME202001823,3252 Rogue River DR ,Chico,95973,Butte,11,2216,6098,6,2,4,2,0,37,2020,2020,489000,484000,6/18/2020 0:00,7/25/2020 0:00,2015
ME221053072,6014 Steadman PL ,Elk Grove,95758,Sacramento,4,1404,8346,29,2,3,2,0,2,2021,2021,520000,520000,5/17/2021 0:00,5/19/2021 0:00,1992
ME221054463,5834 Valley Springs WAY ,Elk Grove,95758,Sacramento,4,2574,6726,32,3,4,3,0,5,2021,2021,559999,595000,5/20/2021 0:00,5/25/2021 0:00,1989
CRIV21105150,39181 Trail Creek LN ,Temecula,92591,Riverside,1,2389,6098,7,3,3,3,0,6,2021,2021,699900,800000,5/17/2021 0:00,5/23/2021 0:00,2014
CRCV21108717,651 W Terrylynn PL ,Long Beach,90807,Los Angeles,0,2189,3120,47,2,3,2,0,4,2021,2021,970000,1056500,5/20/2021 0:00,5/24/2021 0:00,1974
ME221054451,369 Eva CT ,Manteca,95336,San Joaquin,10,1142,4999,50,2,3,2,0,8,2021,2021,434950,470000,5/20/2021 0:00,5/28/2021 0:00,1971
BA321047809,145 Hawthorne AVE ,Larkspur,94939,Marin,15,1315,5301,101,1,2,1,0,11,2021,2021,1799000,2050000,5/7/2021 0:00,5/18/2021 0:00,1920
ML81844682,2924 Congress RD ,Pebble Beach,93953,Monterey,24,1833,8700,52,3,3,2,1,5,2021,2021,1399000,1545000,5/19/2021 0:00,5/24/2021 0:00,1969
ME202000128,1805 Ohio ST ,Gridley,95948,Butte,11,2538,6970,15,4,5,3,1,218,2020,2020,335000,335000,1/14/2020 0:00,8/19/2020 0:00,2006
