MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Year_Built
BE40950609,2724 Foxglove Ct ,Pleasanton,94588,Alameda,8,2051,2949,4,3,2,1,1998
ML81845215,7873 Chestnut WAY ,Pleasanton,94588,Alameda,8,1650,7763,4,2,2,0,1973
ME202001823,3252 Rogue River DR ,Chico,95973,Butte,11,2216,6098,4,2,2,0,2015
ME221053072,6014 Steadman PL ,Elk Grove,95758,Sacramento,4,1404,8346,3,2,2,0,1992
ME221054463,5834 Valley Springs WAY ,Elk Grove,95758,Sacramento,4,2574,6726,4,3,3,0,1989
CRIV21105150,39181 Trail Creek LN ,Temecula,92591,Riverside,1,2389,6098,3,3,3,0,2014
CRCV21108717,651 W Terrylynn PL ,Long Beach,90807,Los Angeles,0,2189,3120,3,2,2,0,1974
ME221054451,369 Eva CT ,Manteca,95336,San Joaquin,10,1142,4999,3,2,2,0,1971
BA321047809,145 Hawthorne AVE ,Larkspur,94939,Marin,15,1315,5301,2,1,1,0,1920
ML81844682,2924 Congress RD ,Pebble Beach,93953,Monterey,24,1833,8700,3,3,2,1,1969
ME202000128,1805 Ohio ST ,Gridley,95948,Butte,11,2538,6970,5,4,3,1,2006
CREV21115375,588 Leafy LN ,Crestline,92325,San Bernardino,3,565,4500,2,1,1,0,1935
ME221053524,14399 Tim Burr LN ,Grass Valley,95945,Nevada,27,1938,22216,3,2,2,0,1965
ME221050890,5148 Linda Lou Drive ,Carmichael,95608,Sacramento,4,1456,6970,3,2,2,0,1984
ML81844669,1523 San Andreas AVE ,San Jose,95118,Santa Clara,7,1144,5822,3,2,2,0,1954
CRSN21105110,4255 Stable LN ,Chico,95973,Butte,11,1729,34412,3,2,2,0,1980
CRPW21106375,2717 E Palmyra AVE ,Orange,92869,Orange,2,1814,7850,3,2,2,0,1963
ME221055681,1142 Elderwood DR ,Galt,95632,Sacramento,4,1218,6499,3,2,2,0,1998
EB40951076,1331 Elm St ,El Cerrito,94530,Contra Costa,6,951,3700,2,1,1,0,1948
ML81845593,1563 Piedmont RD ,San Jose,95132,Santa Clara,7,1811,6552,5,2,2,0,1973
CROC21117827,40158 Stowe RD ,Temecula,92591,Riverside,1,2250,4356,4,3,2,1,2003
CRNDP2105763,1867 Avenida Mimosa ,Encinitas,92024,San Diego,5,2167,6333,4,3,2,1,1985
CRPW21107728,8569 El Rio AVE ,Fountain Valley,92708,Orange,2,1435,7200,3,3,2,1,1965
TM21-734610,20733 Benz RD ,Santa Clarita,91350,Los Angeles,0,1526,6451,3,2,2,0,1979
ME221056236,4058 Castellina WAY ,Manteca,95337,San Joaquin,10,3284,8259,4,4,3,1,2012
CRTR21097360,504 Thomas ST ,Oak View,93022,Ventura,17,1125,7543,3,2,2,0,1973
CRNDP2105487,3755 Vista Campana 15,Oceanside,92057,San Diego,5,906,1309,2,1,1,0,1966
CC40948779,429 Calico Ct ,San Ramon,94582,Contra Costa,6,3850,10420,5,4,4,0,2005
CRBB21107239,2174 N Mills AVE ,Claremont,91711,Los Angeles,0,2990,11880,5,5,5,0,1978
CRPW21108298,1238 Hampton CT ,Fullerton,92831,Orange,2,2199,4250,3,3,2,1,2000
CROC21095003,1 Roncal ST ,Ladera Ranch,92694,Orange,2,1625,4140,2,2,2,0,2014
CRTR21098395,801 Hampshire LN ,La Habra,90631,Orange,2,1520,2000,4,2,1,1,1977
CRSW21114737,3588 Cherry Blossom LN ,Lake Elsinore,92530,Riverside,1,1834,6098,4,3,3,0,1987
ML81844452,60 Crazy Horse Canyon RD ,Prunedale,93907,Monterey,24,2826,256568,3,3,3,0,1987
CRNDP2105477,3170 Falcon Dr ,Carlsbad,92008,San Diego,5,3392,24000,5,3,3,0,1961
ML81844976,60 Los Altos PL ,San Mateo,94402,San Mateo,13,1840,8200,4,3,2,1,1966
CRSB21105644,949 Pine Grove AVE ,Los Angeles,90042,Los Angeles,0,1130,3710,3,1,1,0,1964
CROC21106460,19 Paseo Carla ,San Clemente,92673,Orange,2,2566,6006,4,3,3,0,2006
CRJT21106342,6276 Noels Knoll RD ,Twentynine Palms,92277,San Bernardino,3,2214,54450,4,2,2,0,1989
CRJT21106019,574 Sunever RD ,Joshua Tree,92252,San Bernardino,3,704,108900,1,1,1,0,1959
