MLS_Number,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Age,Year_Built,DOM,Year_Sold,Year_List,Sale_Date,List_Price,Sale_Price
BE40950609,Alameda,8,2051,2949,4,3,2,1,23,1998,6,2021,2021,5/25/2021 0:00,1450000,1625000
ML81845215,Alameda,8,1650,7763,4,2,2,0,48,1973,8,2021,2021,5/29/2021 0:00,1228888,1650000
ME202001823,Butte,11,2216,6098,4,2,2,0,6,2015,37,2020,2020,7/25/2020 0:00,489000,484000
ME221053072,Sacramento,4,1404,8346,3,2,2,0,29,1992,2,2021,2021,5/19/2021 0:00,520000,520000
ME221054463,Sacramento,4,2574,6726,4,3,3,0,32,1989,5,2021,2021,5/25/2021 0:00,559999,595000
CRIV21105150,Riverside,1,2389,6098,3,3,3,0,7,2014,6,2021,2021,5/23/2021 0:00,699900,800000
CRCV21108717,Los Angeles,0,2189,3120,3,2,2,0,47,1974,4,2021,2021,5/24/2021 0:00,970000,1056500
ME221054451,San Joaquin,10,1142,4999,3,2,2,0,50,1971,8,2021,2021,5/28/2021 0:00,434950,470000
BA321047809,Marin,15,1315,5301,2,1,1,0,101,1920,11,2021,2021,5/18/2021 0:00,1799000,2050000
ML81844682,Monterey,24,1833,8700,3,3,2,1,52,1969,5,2021,2021,5/24/2021 0:00,1399000,1545000
ME202000128,Butte,11,2538,6970,5,4,3,1,15,2006,218,2020,2020,8/19/2020 0:00,335000,335000
CREV21115375,San Bernardino,3,565,4500,2,1,1,0,86,1935,0,2021,2021,5/28/2021 0:00,237000,237000
ME221053524,Nevada,27,1938,22216,3,2,2,0,56,1965,9,2021,2021,5/28/2021 0:00,695000,725000
ME221050890,Sacramento,4,1456,6970,3,2,2,0,37,1984,3,2021,2021,5/22/2021 0:00,475000,548000
ML81844669,Santa Clara,7,1144,5822,3,2,2,0,67,1954,8,2021,2021,5/27/2021 0:00,1199000,1335555
CRSN21105110,Butte,11,1729,34412,3,2,2,0,41,1980,6,2021,2021,5/23/2021 0:00,569900,580000
CRPW21106375,Orange,2,1814,7850,3,2,2,0,58,1963,5,2021,2021,5/23/2021 0:00,825000,885000
ME221055681,Sacramento,4,1218,6499,3,2,2,0,23,1998,3,2021,2021,5/24/2021 0:00,425000,450000
EB40951076,Contra Costa,6,951,3700,2,1,1,0,73,1948,0,2021,2021,5/21/2021 0:00,900000,900000
ML81845593,Santa Clara,7,1811,6552,5,2,2,0,48,1973,0,2021,2021,5/24/2021 0:00,1000000,1000000
CROC21117827,Riverside,1,2250,4356,4,3,2,1,18,2003,0,2021,2021,4/21/2021 0:00,775000,775000
CRNDP2105763,San Diego,5,2167,6333,4,3,2,1,36,1985,6,2021,2021,5/30/2021 0:00,1099000,1392500
CRPW21107728,Orange,2,1435,7200,3,3,2,1,56,1965,6,2021,2021,5/26/2021 0:00,825000,875000
TM21-734610,Los Angeles,0,1526,6451,3,2,2,0,42,1979,10,2021,2021,5/30/2021 0:00,699900,700000
ME221056236,San Joaquin,10,3284,8259,4,4,3,1,9,2012,2,2021,2021,5/28/2021 0:00,998000,1100000
CRTR21097360,Ventura,17,1125,7543,3,2,2,0,48,1973,5,2021,2021,4/26/2021 0:00,700000,695000
CRNDP2105487,San Diego,5,906,1309,2,1,1,0,55,1966,13,2021,2021,5/30/2021 0:00,299000,285000
CC40948779,Contra Costa,6,3850,10420,5,4,4,0,16,2005,4,2021,2021,5/24/2021 0:00,2288000,2625125
CRBB21107239,Los Angeles,0,2990,11880,5,5,5,0,43,1978,7,2021,2021,5/26/2021 0:00,1099998,1150000
CRPW21108298,Orange,2,2199,4250,3,3,2,1,21,2000,6,2021,2021,5/25/2021 0:00,1150000,1205000
