Status,Street Address,Zip Code,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Listing Date,Sale Date,Close Date,Original List Price,Year Built,MLS Number,Year_Sale
Sold,6882 Norton AVE ,93003,465000,415000,63,1907,8400,61,11/5/2018 0:00,1/5/2019 0:00,1/18/2019 0:00,499900,1958,CRV0-218013798,2019
Sold,3177 Wood Creek DR ,95928,475000,475000,21,1800,4792,5,1/2/2019 0:00,1/7/2019 0:00,1/28/2019 0:00,475000,2000,ME201900019,2019
Sold,3011 S 5th AVE ,95965,150000,150000,91,960,4356,23,12/17/2018 0:00,1/9/2019 0:00,2/14/2019 0:00,150000,1930,ME201804212,2019
Sold,413 Buena Vista DR ,93023,769000,755000,62,1997,10594,162,8/1/2018 0:00,1/10/2019 0:00,1/11/2019 0:00,799000,1959,CRV0-218009673,2019
Sold,308 Melrose DR ,93035,749000,725000,36,1802,1750,136,8/27/2018 0:00,1/10/2019 0:00,1/11/2019 0:00,759000,1985,CRV0-218010836,2019
Sold,3764 Oro Dam BLVD ,95966,110000,84000,77,999,6534,136,8/27/2018 0:00,1/10/2019 0:00,1/24/2019 0:00,139000,1944,ME201802872,2019
Sold,201 Chico RD ,93023,1349000,1261530,73,2159,33400,99,10/4/2018 0:00,1/11/2019 0:00,1/25/2019 0:00,1349000,1948,CRV0-218012522,2019
Sold,51 Inglewood DR ,95966,329000,312500,63,1650,54886,10,1/3/2019 0:00,1/13/2019 0:00,2/26/2019 0:00,329000,1958,ME201900034,2019
Sold,5377 Crest Ridge DR ,95966,237000,260000,46,1170,7841,7,1/14/2019 0:00,1/21/2019 0:00,1/28/2019 0:00,237000,1975,ME201804055,2019
Sold,6418 Corning CT ,95954,110000,110000,41,1152,10454,1,1/25/2019 0:00,1/26/2019 0:00,2/1/2019 0:00,110000,1980,ME201900260,2019
Sold,6 Ernie LN ,95916,249900,234000,35,1546,72745,114,10/5/2018 0:00,1/27/2019 0:00,2/13/2019 0:00,274900,1986,ME201803424,2019
Sold,513 Oak Creek LN ,93023,879000,910000,55,2053,16400,98,10/25/2018 0:00,1/31/2019 0:00,2/22/2019 0:00,939000,1966,CRV0-218013395,2019
Sold,968 Mort LN ,95973,75000,85000,44,720,13068,24,1/11/2019 0:00,2/4/2019 0:00,2/8/2019 0:00,75000,1977,ME201900110,2019
Sold,2656 Bolker WAY ,93041,440000,445000,49,1282,4138,94,11/6/2018 0:00,2/8/2019 0:00,2/15/2019 0:00,451000,1972,CRV0-218013876,2019
Sold,8 Nikki CT ,95965,304900,310000,16,1640,6098,8,1/31/2019 0:00,2/8/2019 0:00,3/15/2019 0:00,304900,2005,ME201900316,2019
Sold,2165 Ramelli AVE ,93003,529000,529000,55,1402,6000,116,10/22/2018 0:00,2/15/2019 0:00,2/26/2019 0:00,549500,1966,CRV0-218013302,2019
Sold,90 Apache CIR ,95966,149000,149000,42,1200,6534,8,2/13/2019 0:00,2/21/2019 0:00,3/22/2019 0:00,149000,1979,ME201900445,2019
Sold,1095 E Meta ST ,93001,774900,800000,101,1028,5000,34,1/25/2019 0:00,2/28/2019 0:00,4/12/2019 0:00,774900,1920,CRV0-219000916,2019
Sold,9218 Holland AVE ,95938,284218,276500,49,1341,9148,51,1/9/2019 0:00,3/1/2019 0:00,3/29/2019 0:00,289218,1972,ME201900091,2019
Sold,3250 Glen AVE ,95966,200000,205000,59,1452,18731,5,3/1/2019 0:00,3/6/2019 0:00,4/24/2019 0:00,200000,1962,ME201900602,2019
Sold,3810 Hampton RD ,91107,1249000,1200000,73,2625,14019,24,2/12/2019 0:00,3/8/2019 0:00,3/22/2019 0:00,1249000,1948,CRP0-819000646,2019
Sold,1240 4th AVE ,95965,149000,153000,93,1132,5227,60,1/8/2019 0:00,3/9/2019 0:00,4/8/2019 0:00,149000,1928,ME201900077,2019
Sold,1432 Tehama AVE ,95965,205000,216000,84,1282,43996,3,3/12/2019 0:00,3/15/2019 0:00,4/22/2019 0:00,205000,1937,ME201900760,2019
Sold,1637 Tehama AVE ,95965,143000,145000,75,852,10890,8,3/8/2019 0:00,3/16/2019 0:00,6/3/2019 0:00,143000,1946,ME201900755,2019
Sold,2705 Oro Bangor HWY ,95966,165000,166500,76,1227,4792,76,1/2/2019 0:00,3/19/2019 0:00,4/29/2019 0:00,165000,1945,ME201900020,2019
Sold,1236 Lindale AVE ,95974,315000,315000,41,1742,10454,49,2/11/2019 0:00,4/1/2019 0:00,4/8/2019 0:00,315000,1980,ME201900532,2019
Sold,10833 Murchie Mine RD ,95959,689000,670000,42,2585,361548,52,2/9/2019 0:00,4/2/2019 0:00,4/9/2019 0:00,689000,1979,ME201900453,2019
Sold,6273 Merry WAY ,95930,198900,199000,43,1728,16553,268,7/8/2018 0:00,4/2/2019 0:00,5/31/2019 0:00,225000,1978,ME201802228,2019
Sold,450 Graham AVE ,93010,540000,528000,60,1208,7003,57,2/7/2019 0:00,4/5/2019 0:00,4/17/2019 0:00,540000,1961,CRV0-219001394,2019
Sold,250 Palomares AVE ,93003,749900,649000,68,2010,7290,14,3/25/2019 0:00,4/8/2019 0:00,4/26/2019 0:00,749900,1953,CRV0-219003358,2019
Sold,4841 Bruges AVE ,91364,1155000,1120000,62,2300,11400,88,1/16/2019 0:00,4/14/2019 0:00,4/29/2019 0:00,1195000,1959,CRV0-219000593,2019
Sold,396 Edgewood DR ,93015,574500,574500,6,2375,7668,63,2/13/2019 0:00,4/17/2019 0:00,5/6/2019 0:00,577000,2015,CRV0-219001670,2019
Sold,14049 Drexel DR ,95954,260000,250000,41,1560,10890,7,4/10/2019 0:00,4/17/2019 0:00,5/15/2019 0:00,260000,1980,ME201901205,2019
Sold,200 Lang ST ,93003,579000,590000,69,920,6730.02,35,3/17/2019 0:00,4/21/2019 0:00,5/2/2019 0:00,579000,1952,CRV0-219002987,2019
Sold,10 Alosta DR ,93010,798500,785525,72,2498,14266,245,8/20/2018 0:00,4/22/2019 0:00,5/1/2019 0:00,798500,1949,CRV0-218010733,2019
Sold,8144 Shaver ST ,93004,599900,600000,57,1354,6200,24,3/29/2019 0:00,4/22/2019 0:00,5/6/2019 0:00,599900,1964,CRV0-219003580,2019
Sold,14578 Colter WAY ,95954,365000,390000,15,2119,49223,37,3/18/2019 0:00,4/24/2019 0:00,4/25/2019 0:00,365000,2006,ME201900831,2019
Sold,358 S Santa Cruz ST ,93001,829000,805000,76,1664,6000,78,2/6/2019 0:00,4/25/2019 0:00,5/2/2019 0:00,879000,1945,CRV0-219001386,2019
